n,cpu,cuda,openCL
1,0.007073163986206055,0.11546087265014648,0.006646394729614258
101,0.6249902248382568,0.07663273811340332,0.43962955474853516
201,1.2575244903564453,0.1498575210571289,0.8736240863800049
301,1.877063274383545,0.21904325485229492,1.3045885562896729
401,2.494708299636841,0.2915976047515869,1.720271110534668
501,3.113328218460083,0.3622736930847168,2.1556618213653564
601,3.717989206314087,0.4347999095916748,2.60931658744812
701,4.346515655517578,0.5024416446685791,3.017504930496216
801,4.975383281707764,0.5720925331115723,3.450004816055298
901,5.59676456451416,0.6448235511779785,3.8989038467407227
